iter	Logloss
0	0.6544996621
1	0.627408618
2	0.5958644911
3	0.567065438
4	0.5434930067
5	0.516615527
6	0.4938263093
7	0.4744940103
8	0.4517576783
9	0.4378775866
10	0.4212301838
11	0.412199908
12	0.3955194381
13	0.3845501168
14	0.3720850512
15	0.3601227063
16	0.3479343068
17	0.3406017878
18	0.3292724829
19	0.3214612131
20	0.3201699721
21	0.3127846396
22	0.3073347066
23	0.2982953698
24	0.2901102542
25	0.285361246
26	0.2777639557
27	0.2707298347
28	0.2646744419
29	0.2606641727
30	0.256746968
31	0.2537991054
32	0.2483702906
33	0.2448746371
34	0.24169933
35	0.2394441437
36	0.2362514547
37	0.2330485496
38	0.2297266788
39	0.2246148893
40	0.2207342172
41	0.217703326
42	0.2157550751
43	0.2121520799
44	0.2097562862
45	0.2075952291
46	0.2046934475
47	0.2030128018
48	0.2011542039
49	0.1991298013
50	0.1975487539
51	0.1948354295
52	0.192215025
53	0.1905933297
54	0.1894673159
55	0.1875474211
56	0.1861100676
57	0.1848591858
58	0.183603936
59	0.1826617405
60	0.1825590556
61	0.1820467323
62	0.1811076233
63	0.1791396261
64	0.176824641
65	0.1760570224
66	0.1748042273
67	0.1734841429
68	0.172304052
69	0.1712067553
70	0.1698008083
71	0.1687081865
72	0.16794786
73	0.1671814507
74	0.166099027
75	0.165321084
76	0.1647618675
77	0.1637141172
78	0.1626087884
79	0.1615668682
80	0.1611124303
81	0.1606042585
82	0.1589703255
83	0.1584600598
84	0.157767853
85	0.1566379765
86	0.1552461805
87	0.1539801369
88	0.1528841759
89	0.1516509106
90	0.1507783239
91	0.1499979441
92	0.1488615246
93	0.1479422433
94	0.1471160173
95	0.1465241037
96	0.1460022592
97	0.1454811276
98	0.1449528754
99	0.1442583041
100	0.1435337702
101	0.1425653124
102	0.1420343888
103	0.1413716211
104	0.1399102434
105	0.1390822756
106	0.1382208707
107	0.1378305635
108	0.1371392772
109	0.1365444757
110	0.1355503963
111	0.1349480771
112	0.1343602969
113	0.1337843303
114	0.133418318
115	0.1327422928
116	0.1318881619
117	0.1315294598
118	0.1308798683
119	0.1308688761
120	0.1297163021
121	0.1287956399
122	0.1283452542
123	0.1279523118
124	0.1275197682
125	0.1266925766
126	0.1262144124
127	0.1256108387
128	0.1249179369
129	0.1245652815
130	0.1239818242
131	0.1234723167
132	0.1227379186
133	0.1221888912
134	0.121671153
135	0.1212842211
136	0.1207473953
137	0.1202002451
138	0.1193291745
139	0.1187561771
140	0.1184774081
141	0.1178886262
142	0.1171234353
143	0.1164043795
144	0.1158170326
145	0.1153864204
146	0.1151273437
147	0.114591294
148	0.1142016817
149	0.1138851257
150	0.113388993
151	0.1129781904
152	0.1125846884
153	0.1118416716
154	0.111294386
155	0.1109471815
156	0.1108433956
157	0.1100263569
158	0.1094204819
159	0.108966757
160	0.1085484908
161	0.1080305992
162	0.10758876
163	0.1070801099
164	0.1069406306
165	0.1066249049
166	0.1062571147
167	0.10577294
168	0.1052224054
169	0.1052108446
170	0.1048283529
171	0.1041990133
172	0.1038096627
173	0.1033100103
174	0.1031465972
175	0.1029298561
176	0.1023790869
